"p","r_droplet_actual","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
19442,0,1,0.09225,0.09225,0.01,0.03785
19429,0,1,0.093,0.093,0.01,0.03785
19416,0,1,0.09375,0.09375,0.01,0.03785
19404,0,1,0.0945,0.0945,0.01,0.03785
19391,0,1,0.09525,0.09525,0.01,0.03785
19378,0,1,0.096,0.096,0.01,0.03785
19365,0,1,0.09675,0.09675,0.01,0.03785
19351,0,1,0.0975,0.0975,0.01,0.03785
19338,0,1,0.09825,0.09825,0.01,0.03785
19325,0,1,0.099,0.099,0.01,0.03785
19311,0,1,0.09975,0.09975,0.01,0.03785
19298,0,1,0.1005,0.1005,0.01,0.03785
19285,0,1,0.10125,0.10125,0.01,0.03785
19271,0,1,0.102,0.102,0.01,0.03785
19258,0,1,0.10275,0.10275,0.01,0.03785
19244,0,1,0.1035,0.1035,0.01,0.03785
19231,0,1,0.10425,0.10425,0.01,0.03785
19217,0,1,0.105,0.105,0.01,0.03785
19203,0,1,0.10575,0.10575,0.01,0.03785
19189,0,1,0.1065,0.1065,0.01,0.03785
19175,0,1,0.10725,0.10725,0.01,0.03785
19162,0,1,0.108,0.108,0.01,0.03785
19148,0,1,0.10875,0.10875,0.01,0.03785
19134,0,1,0.1095,0.1095,0.01,0.03785
19120,0,1,0.11025,0.11025,0.01,0.03785
19106,0,1,0.111,0.111,0.01,0.03785
19091,0,1,0.11175,0.11175,0.01,0.03785
19077,0,1,0.1125,0.1125,0.01,0.03785
19063,0,1,0.11325,0.11325,0.01,0.03785
19049,0,1,0.114,0.114,0.01,0.03785
19034,0,1,0.11475,0.11475,0.01,0.03785
19020,0,1,0.1155,0.1155,0.01,0.03785
19006,0,1,0.11625,0.11625,0.01,0.03785
18991,0,1,0.117,0.117,0.01,0.03785
18977,0,1,0.11775,0.11775,0.01,0.03785
18962,0,1,0.1185,0.1185,0.01,0.03785
18947,0,1,0.11925,0.11925,0.01,0.03785
18932,0,1,0.12,0.12,0.01,0.03785
18918,0,1,0.12075,0.12075,0.01,0.03785
18903,0,1,0.1215,0.1215,0.01,0.03785
18888,0,1,0.12225,0.12225,0.01,0.03785
18873,0,1,0.123,0.123,0.01,0.03785
18858,0,1,0.12375,0.12375,0.01,0.03785
18843,0,1,0.1245,0.1245,0.01,0.03785
18828,0,1,0.12525,0.12525,0.01,0.03785
18813,0,1,0.126,0.126,0.01,0.03785
18797,0,1,0.12675,0.12675,0.01,0.03785
18782,0,1,0.1275,0.1275,0.01,0.03785
18767,0,1,0.12825,0.12825,0.01,0.03785
18752,0,1,0.129,0.129,0.01,0.03785
18736,0,1,0.12975,0.12975,0.01,0.03785
18721,0,1,0.1305,0.1305,0.01,0.03785
18705,0,1,0.13125,0.13125,0.01,0.03785
18689,0,1,0.132,0.132,0.01,0.03785
18673,0,1,0.13275,0.13275,0.01,0.03785
18657,0,1,0.1335,0.1335,0.01,0.03785
18642,0,1,0.13425,0.13425,0.01,0.03785
18626,0,1,0.135,0.135,0.01,0.03785
18610,0,1,0.13575,0.13575,0.01,0.03785
18594,0,1,0.1365,0.1365,0.01,0.03785
18578,0,1,0.13725,0.13725,0.01,0.03785
18561,0,1,0.138,0.138,0.01,0.03785
18545,0,1,0.13875,0.13875,0.01,0.03785
18529,0,1,0.1395,0.1395,0.01,0.03785
18512,0,1,0.14025,0.14025,0.01,0.03785
18496,0,1,0.141,0.141,0.01,0.03785
18479,0,1,0.14175,0.14175,0.01,0.03785
18463,0,1,0.1425,0.1425,0.01,0.03785
18446,0,1,0.14325,0.14325,0.01,0.03785
18429,0,1,0.144,0.144,0.01,0.03785
18412,0,1,0.14475,0.14475,0.01,0.03785
18395,0,1,0.1455,0.1455,0.01,0.03785
18378,0,1,0.14625,0.14625,0.01,0.03785
18361,0,1,0.147,0.147,0.01,0.03785
18344,0,1,0.14775,0.14775,0.01,0.03785
18326,0,1,0.1485,0.1485,0.01,0.03785
18309,0,1,0.14925,0.14925,0.01,0.03785
18292,0,1,0.15,0.15,0.01,0.03785
18274,0,1,0.15075,0.15075,0.01,0.03785
18256,0,1,0.1515,0.1515,0.01,0.03785
18238,0,1,0.15225,0.15225,0.01,0.03785
18220,0,1,0.153,0.153,0.01,0.03785
18202,0,1,0.15375,0.15375,0.01,0.03785
18184,0,1,0.1545,0.1545,0.01,0.03785
18166,0,1,0.15525,0.15525,0.01,0.03785
18148,0,1,0.156,0.156,0.01,0.03785
18130,0,1,0.15675,0.15675,0.01,0.03785
18111,0,1,0.1575,0.1575,0.01,0.03785
18092,0,1,0.15825,0.15825,0.01,0.03785
18073,0,1,0.159,0.159,0.01,0.03785
18054,0,1,0.15975,0.15975,0.01,0.03785
18036,0,1,0.1605,0.1605,0.01,0.03785
18017,0,1,0.16125,0.16125,0.01,0.03785
17998,0,1,0.162,0.162,0.01,0.03785
17979,0,1,0.16275,0.16275,0.01,0.03785
17960,0,1,0.1635,0.1635,0.01,0.03785
17939,0,1,0.16425,0.16425,0.01,0.03785
17919,0,1,0.165,0.165,0.01,0.03785
17899,0,1,0.16575,0.16575,0.01,0.03785
17879,0,1,0.1665,0.1665,0.01,0.03785
17859,0,1,0.16725,0.16725,0.01,0.03785
17839,0,1,0.168,0.168,0.01,0.03785
17819,0,1,0.16875,0.16875,0.01,0.03785
17799,0,1,0.1695,0.1695,0.01,0.03785
17779,0,1,0.17025,0.17025,0.01,0.03785
17757,0,1,0.171,0.171,0.01,0.03785
17736,0,1,0.17175,0.17175,0.01,0.03785
17715,0,1,0.1725,0.1725,0.01,0.03785
17693,0,1,0.17325,0.17325,0.01,0.03785
17672,0,1,0.174,0.174,0.01,0.03785
17651,0,1,0.17475,0.17475,0.01,0.03785
17629,0,1,0.1755,0.1755,0.01,0.03785
17608,0,1,0.17625,0.17625,0.01,0.03785
17586,0,1,0.177,0.177,0.01,0.03785
17563,0,1,0.17775,0.17775,0.01,0.03785
17541,0,1,0.1785,0.1785,0.01,0.03785
17518,0,1,0.17925,0.17925,0.01,0.03785
17495,0,1,0.18,0.18,0.01,0.03785
17472,0,1,0.18075,0.18075,0.01,0.03785
17450,0,1,0.1815,0.1815,0.01,0.03785
17427,0,1,0.18225,0.18225,0.01,0.03785
17404,0,1,0.183,0.183,0.01,0.03785
17381,0,1,0.18375,0.18375,0.01,0.03785
17356,0,1,0.1845,0.1845,0.01,0.03785
17332,0,1,0.18525,0.18525,0.01,0.03785
17308,0,1,0.186,0.186,0.01,0.03785
17283,0,1,0.18675,0.18675,0.01,0.03785
17259,0,1,0.1875,0.1875,0.01,0.03785
17235,0,1,0.18825,0.18825,0.01,0.03785
17210,0,1,0.189,0.189,0.01,0.03785
17186,0,1,0.18975,0.18975,0.01,0.03785
17160,0,1,0.1905,0.1905,0.01,0.03785
17134,0,1,0.19125,0.19125,0.01,0.03785
17108,0,1,0.192,0.192,0.01,0.03785
17082,0,1,0.19275,0.19275,0.01,0.03785
17056,0,1,0.1935,0.1935,0.01,0.03785
17030,0,1,0.19425,0.19425,0.01,0.03785
17003,0,1,0.195,0.195,0.01,0.03785
16977,0,1,0.19575,0.19575,0.01,0.03785
16951,0,1,0.1965,0.1965,0.01,0.03785
16923,0,1,0.19725,0.19725,0.01,0.03785
16895,0,1,0.198,0.198,0.01,0.03785
16867,0,1,0.19875,0.19875,0.01,0.03785
16839,0,1,0.1995,0.1995,0.01,0.03785
16810,0,1,0.20025,0.20025,0.01,0.03785
16782,0,1,0.201,0.201,0.01,0.03785
16754,0,1,0.20175,0.20175,0.01,0.03785
16726,0,1,0.2025,0.2025,0.01,0.03785
16697,0,1,0.20325,0.20325,0.01,0.03785
16667,0,1,0.204,0.204,0.01,0.03785
16636,0,1,0.20475,0.20475,0.01,0.03785
16605,0,1,0.2055,0.2055,0.01,0.03785
16574,0,1,0.20625,0.20625,0.01,0.03785
16543,0,1,0.207,0.207,0.01,0.03785
16513,0,1,0.20775,0.20775,0.01,0.03785
16482,0,1,0.2085,0.2085,0.01,0.03785
16451,0,1,0.20925,0.20925,0.01,0.03785
16420,0,1,0.21,0.21,0.01,0.03785
16386,0,1,0.21075,0.21075,0.01,0.03785
16352,0,1,0.2115,0.2115,0.01,0.03785
16318,0,1,0.21225,0.21225,0.01,0.03785
16284,0,1,0.213,0.213,0.01,0.03785
16250,0,1,0.21375,0.21375,0.01,0.03785
16216,0,1,0.2145,0.2145,0.01,0.03785
16182,0,1,0.21525,0.21525,0.01,0.03785
16148,0,1,0.216,0.216,0.01,0.03785
16113,0,1,0.21675,0.21675,0.01,0.03785
